id,name,card_no,card_provider,shop_no,shop_name,longitude,latitude,loc,prd_name,price,result,txdate
yeeunyang,홍성민,4534140582589744,VISA 16 digit,12629993,대광종합철물,127.027502514135,37.5012560294183,"37.5013, 127.0275",칼국수,4000,승인,2022-12-03 18:12:12
vcoe,김정웅,3593987531981699,VISA 19 digit,24933559,현경부동산,126.946190413319,37.5676503587941,"37.5677, 126.9462",염색,10000,승인,2022-11-30 00:49:53
fgim,김서현,6011807388826788,American Express,20687712,스타벅스,127.052889552846,37.5400093725353,"37.54, 127.0529",오늘의백반,6000,승인,2022-12-04 20:43:49
bhan,김은영,180035084000775,Discover,24690510,리더스재테크,126.885014104729,37.5064124613938,"37.5064, 126.885",미용료(커트),8000,승인,2022-11-30 12:31:42
kcoe,황재호,3552752496670300,VISA 19 digit,8846864,동경아트인테리어,127.054846222628,37.5391870725506,"37.5392, 127.0548",한방오리백숙,50000,승인,2022-12-03 17:17:09
seunghyeon35,이지훈,30305801635225,American Express,24653478,GS25,127.050950563191,37.6268364276482,"37.6268, 127.051",짬뽕,4000,승인,2022-11-29 22:56:21
jeongsubag,윤은서,4436095186008740,Maestro,24020731,꼬마방,127.00872909594,37.5704356439397,"37.5704, 127.0087",파마,30000,승인,2022-12-03 09:53:24
seohyeongim,조우진,6011755674863686,Discover,16732724,모모야,127.024696482738,37.5647749239337,"37.5648, 127.0247",파마,25000,승인,2022-12-04 06:51:11
dohyeoncoe,이상현,3554406657278993,VISA 16 digit,25206271,스튜디오새롬,126.924589180925,37.5568503393818,"37.5569, 126.9246",비빔밥,5500,승인,2022-12-03 00:08:40
jeongsui,박은영,38124011313495,JCB 16 digit,24443472,믿음상회,126.888289655066,37.4815384421236,"37.4815, 126.8883",삼겹살(수입산200g),6000,승인,2022-12-04 14:28:46
eunseoyu,구지영,36412463641238,VISA 16 digit,16131730,태양섬유상사,127.046054830623,37.4715732699357,"37.4716, 127.0461",돈까스,6500,승인,2022-11-29 11:36:56
yeongjinbag,유성현,3513002031332992,JCB 16 digit,16326560,대한닭갈비,126.977174678005,37.5633545943201,"37.5634, 126.9772",탕수육(중),15000,승인,2022-11-30 04:04:46
hyeonju48,조현주,349246896558979,JCB 16 digit,23264907,호식이두마리치킨,127.091162063637,37.6003199743543,"37.6003, 127.0912",목욕료(성인),6500,승인,2022-11-29 05:55:45
jeongsuni,박재현,4306416876405433,Maestro,23470213,엔와이,127.057296585578,37.5000288319214,"37.5, 127.0573",커트,7000,승인,2022-11-30 14:53:42
mcoe,서종수,6526761418351341,JCB 16 digit,22562852,이사돌익스프레스,126.971482883432,37.4766964228933,"37.4767, 126.9715",삼겹살(국내산200g),11000,승인,2022-12-01 11:59:38
jinhoi,권준호,4750841044858,JCB 16 digit,16969025,타이지엔,127.10528212572,37.5067635018145,"37.5068, 127.1053",선지해장국,6000,승인,2022-12-04 16:30:14
seoyeonryu,김예원,6517132246863561,Maestro,26533202,효원인터내셔널,126.993126290122,37.5959201660899,"37.5959, 126.9931",우동,4500,승인,2022-11-29 10:51:00
bagjinho,이시우,630468426113,Mastercard,22952822,콩네일,127.105233516648,37.5051502376574,"37.5052, 127.1052",한식뷔페,6000,승인,2022-11-28 12:55:51
ri,박영수,3549541587821286,JCB 16 digit,24351860,영천정육점,126.92937937101,37.6222729296829,"37.6223, 126.9294",커트,5000,승인,2022-12-04 22:42:23
kgim,이지혜,4726442956468,Discover,24866977,나는세상,127.094238348832,37.554858733406,"37.5549, 127.0942",자장면,6000,승인,2022-12-03 14:54:23
tgim,박아름,3544970784757321,Mastercard,27676701,브리지스톤타이어세일즈코리아,127.037277378321,37.5018857412981,"37.5019, 127.0373",하의,3000,승인,2022-12-05 10:45:59
ri,김민수,4004170194295662,Diners Club / Carte Blanche,24518831,경희대태권도,127.075904196053,37.6490918965234,"37.6491, 127.0759",두부마을정식,7000,승인,2022-12-02 07:35:23
mgo,오유진,675938483350,Maestro,11939888,산속흑염소,126.924557562317,37.5204479715361,"37.5204, 126.9246",커트,5000,승인,2022-11-29 21:01:12
ago,김민지,676335783285,VISA 16 digit,22367945,휘경카-공업사,126.862105243398,37.5209169890354,"37.5209, 126.8621",돈가스,6000,승인,2022-11-29 00:27:55
ihyeonji,박영수,2281105721009150,VISA 13 digit,25445709,안암수학,127.135911946774,37.5283015882272,"37.5283, 127.1359",콩나물라면,3000,승인,2022-11-29 02:08:38
hyeonjeong32,박숙자,4538659212627380,VISA 13 digit,25001578,서울예술음악학원,126.918546045104,37.4627259999755,"37.4627, 126.9185",고등어구이,7000,승인,2022-12-02 07:27:09
gimjihyeon,최옥자,180052730796359,JCB 15 digit,20295433,엔제리너스,126.974745300737,37.5704787781716,"37.5705, 126.9747",순대국,6000,승인,2022-12-02 21:52:59
misugsim,박경수,180086038145273,Discover,14219118,개별용달,127.014797126477,37.6245127652075,"37.6245, 127.0148",삼겹살,10000,승인,2022-12-01 00:45:38
minseog40,나영순,376858304098160,JCB 15 digit,12323073,크로바침장,127.007310641055,37.5706940376659,"37.5707, 127.0073",된장찌개,5000,승인,2022-12-02 14:46:21
seonghyeon15,김현정,4065739729102081727,Discover,16091138,미카도스시,126.920830568985,37.5522117346078,"37.5522, 126.9208",파마,20000,승인,2022-12-05 21:15:58
namminjun,류준호,4282022740152660,Diners Club / Carte Blanche,25905505,콘래드서울스파,126.924863083917,37.5251722235016,"37.5252, 126.9249",김치찌개백반,4500,승인,2022-11-29 22:57:55
haeun39,박예은,4581161773353973,American Express,24562426,세라젬로하스나비엘명일갤러,127.144740702029,37.549756940271,"37.5498, 127.1447",김밥,2500,승인,2022-11-30 11:58:27
yejungim,문지현,6586802163319245,VISA 16 digit,20814525,온달떡볶이,126.900151112442,37.5285127914744,"37.5285, 126.9002",커트,10000,승인,2022-12-02 11:01:40
bagmiyeong,이승민,3528347692103742,Maestro,15727084,에스에스부동산,127.073767500925,37.6176469322294,"37.6176, 127.0738",커트,3000,승인,2022-12-04 21:07:13
imjeongho,이민수,180089979119448,JCB 16 digit,25714445,부동산까치,126.933265864064,37.55318072793,"37.5532, 126.9333",커트,5000,승인,2022-12-05 10:47:14
hyeonjigim,고지혜,4205167886326976,Diners Club / Carte Blanche,17088090,수수커피컴퍼니,127.032348945675,37.4999262249617,"37.4999, 127.0323",사진찰영료,10000,승인,2022-11-28 10:02:09
seonghun29,박진호,503898143451,Discover,16597256,사이공본가,126.927688665381,37.4842453334158,"37.4842, 126.9277",이용료(커트),5000,승인,2022-12-04 12:08:38
lcoe,이미경,4494266017444177,Maestro,16599702,하모니마트,127.157651312298,37.4956239616256,"37.4956, 127.1577",탕수육(2인),15000,승인,2022-12-04 00:02:42
gweonseungmin,강서영,36461358139394,VISA 16 digit,22999727,하은헤어스토리,127.077652174524,37.5571361332754,"37.5571, 127.0777",카페라떼,2800,승인,2022-12-02 14:45:38
gwangsuna,송영희,30595585104402,Diners Club / Carte Blanche,16228752,파크랜드,127.024343362069,37.6299892898582,"37.63, 127.0243",세탁료(양복1벌),3900,승인,2022-12-03 16:24:44
gimjungsu,박재현,6011241172655387,JCB 16 digit,24805523,토브스터디룸,127.12908493143,37.5063196645002,"37.5063, 127.1291",된장찌개,5500,승인,2022-11-29 12:48:25
seoyunjang,김준서,4477883522745852237,JCB 16 digit,26886139,맘스수학,127.014060077409,37.4965852644193,"37.4966, 127.0141",커트,7000,승인,2022-12-04 04:23:00
yeongil75,신수진,501818374958,JCB 16 digit,21644636,일원카센타,127.015870953981,37.5662244494785,"37.5662, 127.0159",커트,7000,승인,2022-11-28 17:30:17
ugim,김종수,6011342763638053,Diners Club / Carte Blanche,25635532,또보겠지떡볶이집,126.921137785903,37.5520974070977,"37.5521, 126.9211",순두부찌개,6000,승인,2022-11-30 12:21:06
donghyeon25,김승민,4118517236606,Maestro,20488821,토종골,126.890828379752,37.5773969503192,"37.5774, 126.8908",미용료(컷트),5000,승인,2022-12-04 10:36:01
kseo,이정식,3580736497130972,JCB 15 digit,25612455,화곡본동시장,126.844119127689,37.5428537534801,"37.5429, 126.8441",설렁탕,6000,승인,2022-12-02 22:53:55
yeongjacoe,배우진,373804549069510,JCB 16 digit,25972630,대진부동산,127.083665398487,37.5420813365296,"37.5421, 127.0837",짬뽕,5500,승인,2022-12-05 01:38:56
amin,박미경,3525476975201973,Diners Club / Carte Blanche,12054466,스펙트럼아이웨어,126.931778543643,37.5201981385118,"37.5202, 126.9318",이용료(커트),6000,승인,2022-12-05 00:05:30
pgim,이준혁,4776755687603244,VISA 19 digit,16987728,커피스미스,127.124307457489,37.5396054637006,"37.5396, 127.1243",에스프레소,1300,승인,2022-12-03 19:20:20
seongmin26,이준서,4658694127161229,JCB 15 digit,14323140,탈랜트노래연습장,127.088143322199,37.547918776692,"37.5479, 127.0881",백반,3900,승인,2022-12-02 00:16:57
seojun71,권영일,4504243617423867,VISA 19 digit,22747961,사랑피아노,126.915197745691,37.4957368005146,"37.4957, 126.9152",파마,20000,승인,2022-12-02 23:18:01
junseobag,강지아,4950020571781012,Mastercard,25024942,수필라테스,127.051304462268,37.4873570461703,"37.4874, 127.0513",칼국수,3000,승인,2022-11-29 14:22:27
gimminseog,박지민,3534590772486493,VISA 19 digit,14336929,한마음컴퓨터세탁,126.868567447122,37.5544345898454,"37.5544, 126.8686",원우동,5000,승인,2022-11-30 06:02:02
yujincoe,김종수,60424712408,VISA 16 digit,25900569,MA페이스,126.922005629167,37.5531325186503,"37.5531, 126.922",돼지갈비(국200g),10000,승인,2022-11-29 08:14:25
jiyeongi,김준서,4875049996545761,VISA 16 digit,14090949,한솔공인중개사,127.140099008499,37.5479301289136,"37.5479, 127.1401",수선료,3000,승인,2022-11-30 20:41:17
coeeunyeong,이예원,213130018335297,VISA 16 digit,22983429,은화세탁,127.129039207807,37.5326392512022,"37.5326, 127.129",비빔국수,5500,승인,2022-12-04 16:25:04
yeonggil53,박진우,4821840392599732,American Express,12547169,파티엔,126.919568629981,37.6348429454374,"37.6348, 126.9196",파마,15000,승인,2022-12-03 23:29:34
gimeunseo,김정수,213154114861741,Mastercard,26279766,씨유논현경복,127.039919128179,37.5102059567642,"37.5102, 127.0399",미용료(파마),20000,승인,2022-12-04 21:02:20
ogsun67,이도현,180078714375589,VISA 13 digit,17268258,아우어베이커리,127.00239321346,37.5039300142165,"37.5039, 127.0024",한식뷔페,5000,승인,2022-11-28 18:21:03
wjeon,권정희,3557721030235123,VISA 13 digit,24999243,키스당구클럽,127.020786499109,37.6342667699653,"37.6343, 127.0208",돈가스,4900,승인,2022-11-30 07:49:03
boram54,문현지,4681156666060,JCB 15 digit,24698782,파티파티노래방,126.8861005431,37.5261555291249,"37.5262, 126.8861",참치김치찌개,5000,승인,2022-12-03 09:15:57
jangeunji,최정식,3535610379278876,American Express,24970212,나영CEO,127.051957915634,37.6135271754961,"37.6135, 127.052",탕수육,8500,승인,2022-12-04 17:04:11
jaehoi,이승민,2279772555401565,VISA 19 digit,16118711,고구려짬뽕10101,126.829260099314,37.5349764899177,"37.535, 126.8293",김치찌개,5500,승인,2022-12-05 22:20:07
gimjuweon,손중수,3542296528063442,VISA 19 digit,16520315,연변룡정,126.897064403602,37.4945597175312,"37.4946, 126.8971",돈가스,3500,승인,2022-12-01 04:06:16
minjae63,이유진,3527039812433254,JCB 15 digit,25259337,빽다방강남소망점,127.032623411179,37.5242298839832,"37.5242, 127.0326",사진촬영료,15000,승인,2022-12-05 16:54:51
wgim,양상훈,346550128708242,VISA 16 digit,20817487,다솔피아노,126.92307219232,37.5120276886766,"37.512, 126.9231",자장면,4000,승인,2022-11-30 04:53:14
bbae,김광수,6011867814755837,VISA 19 digit,16563787,제이앤케이어패럴,127.129642878778,37.4865094196565,"37.4865, 127.1296",모듬전,15000,승인,2022-12-05 17:46:20
kgim,강서연,4702833183711065,Diners Club / Carte Blanche,22550601,태경인삼사,127.03705943344,37.5786714054279,"37.5787, 127.0371",김치찌개,6000,승인,2022-11-30 15:22:02
jinho43,장은지,630459168781,VISA 16 digit,16455078,한국안경원,127.143930053989,37.5493906437646,"37.5494, 127.1439",된장찌개,5000,승인,2022-12-01 21:54:38
gwangsui,이미정,6558704897381083,VISA 19 digit,26336186,우리나라우리고기,127.128695134201,37.5505406825533,"37.5505, 127.1287",김치볶음밥,6000,승인,2022-12-04 12:29:38
seongjin79,강현정,502079438599,JCB 16 digit,23420441,수꼬치,126.871879833633,37.5464200375049,"37.5464, 126.8719",자장면,3500,승인,2022-12-02 21:35:46
ogsun71,김은정,4094488612390,Mastercard,26273307,신원텔레콤,127.028167233583,37.6573672133391,"37.6574, 127.0282",닭곰탕,6000,승인,2022-11-30 06:02:05
cbae,김선영,2291680059688823,Mastercard,14160369,JJ에스떼,126.916049904609,37.5611332725829,"37.5611, 126.916",양복세탁료,6000,승인,2022-11-29 11:01:31
yeongceolgim,나종수,4734939468542414,VISA 16 digit,12278002,고추방앗간,126.960846746539,37.5711051159985,"37.5711, 126.9608",드라이,10000,승인,2022-12-02 16:05:08
minjiyang,허은영,4111564015670286639,Diners Club / Carte Blanche,15618206,매트릭스파트너스,126.944812006286,37.5393723928581,"37.5394, 126.9448",돈가스,6000,승인,2022-12-01 05:13:37
sangho34,김예원,36416827625878,Discover,25497116,스카이공인중개사,126.895353961198,37.477090452737,"37.4771, 126.8954",아메리카노,2500,승인,2022-11-30 20:13:02
minseogim,박지영,180004996080341,VISA 13 digit,23155475,진양탕,126.92876810503,37.6246100579942,"37.6246, 126.9288",금일메뉴 식사,5000,승인,2022-11-30 16:10:20
jongsugim,김준호,4881142103374159,JCB 16 digit,20081925,곱창생각,127.065580339513,37.5685385843658,"37.5685, 127.0656",볼륨파마,23000,승인,2022-12-03 11:05:51
iseojun,김지은,6565671228525426,American Express,25527986,이남장설렁탕인사동점,126.985848842339,37.5756024973128,"37.5756, 126.9858",된장찌개,4000,승인,2022-12-05 21:57:14
hancunja,이승민,180042355747746,Discover,20705946,조선옥,126.997110903389,37.4980464640475,"37.498, 126.9971", 미용료(파마) ,25000,승인,2022-11-29 00:40:55
ujo,최승현,4631013934237365,American Express,23087602,유진헤어,126.829886479107,37.4977698590719,"37.4978, 126.8299",된장찌개,5000,승인,2022-12-04 04:53:28
janggwangsu,이경숙,38429079443799,VISA 19 digit,17540395,비너스헬스,127.04382404666,37.5835379681734,"37.5835, 127.0438",백반,4000,승인,2022-12-02 14:52:14
jeongja23,김서영,5157557880473532,JCB 15 digit,21948996,미스식스티,127.028725560472,37.6083915431599,"37.6084, 127.0287",설렁탕,7000,승인,2022-12-03 09:25:24
seongmingim,최정식,6011737767308118,VISA 16 digit,23506586,먹태앤노가리,126.888375961999,37.4657889287171,"37.4658, 126.8884",야채김밥,2000,승인,2022-11-30 04:06:26
doyun13,이지은,4332066991036940,VISA 16 digit,12230628,과일가게,127.119772227244,37.5374812970256,"37.5375, 127.1198",커트,15000,승인,2022-11-28 22:44:39
jaeho48,이정남,4424395550267052,JCB 16 digit,17511080,오가다,126.925065709878,37.4905378525365,"37.4905, 126.9251",카페라떼,2700,승인,2022-12-04 23:29:32
coejunyeong,김순자,4117046274997,VISA 16 digit,23708984,글램헤어,127.076672453478,37.6584326366077,"37.6584, 127.0767",된장찌개,5000,승인,2022-11-30 02:15:40
yujin87,김민서,2272101348735922,Diners Club / Carte Blanche,26352666,위딤,127.040979875687,37.557231403318,"37.5572, 127.041",짬뽕 ,4000,승인,2022-12-01 02:43:41
seongjingang,황재호,375663723242345,Diners Club / Carte Blanche,25737414,소니서비스센터서초점,127.00975612911,37.4867998512719,"37.4868, 127.0098",부대찌개,7000,승인,2022-11-28 10:35:29
yeongsun78,박영진,2234096482878875,Mastercard,21939123,영화인테리어,126.931062937842,37.478356008897,"37.4784, 126.9311",비빔밥,6000,승인,2022-12-05 19:47:24
yangjeonghyi,오영길,38038994973598,Maestro,25593323,이룸c&s,127.020054467408,37.5121152445275,"37.5121, 127.0201",카페라떼,3500,승인,2022-11-30 03:06:53
agim,김상훈,346073544937725,VISA 19 digit,20022424,辛닭발나라,126.899350883112,37.4951847440072,"37.4952, 126.8994",낙지돌솥밥,7000,승인,2022-12-02 05:02:26
gyeongjaseo,김옥자,4905143715643,JCB 16 digit,20666704,하모,127.032781866655,37.523348151123,"37.5233, 127.0328",김치찌개,6000,승인,2022-12-04 10:04:53
jihugim,최수빈,4105700285556446,American Express,23173714,꽃보다갈비살,127.037452154306,37.4820999589804,"37.4821, 127.0375",물냉면,5000,승인,2022-11-30 01:41:15
jihyeonbag,김준서,4483305341897321,VISA 19 digit,25879785,별난버섯집,127.096458543243,37.5059304387257,"37.5059, 127.0965",파마,30000,승인,2022-12-04 09:14:47
yeongceolmun,한영수,180005162771274,VISA 19 digit,16966623,황실노래바,126.909689488838,37.5183473741254,"37.5183, 126.9097",와이셔츠,1500,승인,2022-12-01 13:16:14
seonghyeon99,김준호,676303027657,JCB 16 digit,23056431,금메달태권도,126.918631376222,37.4693585227832,"37.4694, 126.9186",아메리카노,2500,승인,2022-12-02 12:01:52
ijeonghyi,안숙자,30253543449606,American Express,20292839,홍삼건강원,126.929550102922,37.4980122217102,"37.498, 126.9296",짬뽕,4000,승인,2022-12-02 22:04:37
jeongunggim,김예원,4071718840926375,JCB 15 digit,25205304,아이밀,126.991155894191,37.4875885913735,"37.4876, 126.9912",안창살(180g),13000,승인,2022-11-30 00:29:35
kgim,김예준,2286448576700969,JCB 15 digit,23383786,족발데이,126.915614353862,37.5997566300876,"37.5998, 126.9156",김치찌개,4000,승인,2022-11-29 15:38:19
jyang,박정남,4399869982913948,JCB 16 digit,20912970,한민족합기도무술협회,126.995068949473,37.4883878374432,"37.4884, 126.9951",의복수선료,2000,승인,2022-12-04 02:47:44
baghyeonjun,황준영,343839367338040,Diners Club / Carte Blanche,17042803,타르틴베이커리도곡SSG점,127.054163435442,37.4892992237675,"37.4893, 127.0542",된장찌개,5000,승인,2022-11-29 05:27:11
juweongim,안현숙,4228968364130951,Mastercard,16560908,오케이미용실,127.143732355434,37.5320438747895,"37.532, 127.1437",커트,5000,승인,2022-11-30 01:01:27
jinhoyang,김영희,6507723554868606,VISA 16 digit,24665070,SBS노래방,127.08907514112,37.5950057442399,"37.595, 127.0891",정장한벌,5000,승인,2022-12-02 14:40:51
zi,윤상철,4483846706319,Discover,23412844,GS편의점자판기수유행복점,127.010413921492,37.6458035489137,"37.6458, 127.0104",김치찌개,6000,승인,2022-11-29 22:06:16
fbag,김주원,6578070771044619,JCB 15 digit,23552591,야미넷,127.061914517963,37.5638781288024,"37.5639, 127.0619",김치찌개,7000,승인,2022-11-30 13:41:04
baggwangsu,이채원,213190416675140,VISA 13 digit,26360889,으뜸보습학원,127.01314124588,37.6049464301851,"37.6049, 127.0131",파마,25000,승인,2022-12-02 07:15:22
kgim,최중수,378037278047473,American Express,23221958,쪽갈비,127.072840679319,37.5471868959752,"37.5472, 127.0728",자장면,3000,승인,2022-11-29 06:48:09
jeongho45,이수진,3556892605193699,VISA 19 digit,23367266,로하스pc방,126.963434207652,37.477428023113,"37.4774, 126.9634",옛날 손짜장,4500,승인,2022-12-02 19:20:16
ibag,이경자,5396217217734491,American Express,24650293,금성철물,127.081236868793,37.5094352765534,"37.5094, 127.0812",찌라시초밤,12000,승인,2022-12-04 16:59:57
gimdonghyeon,양상철,4487900433348,VISA 13 digit,26224178,삼성열쇠,127.053377092173,37.510386662713,"37.5104, 127.0534",김치찌개,5000,승인,2022-12-05 14:32:08
pi,장채원,344222243943417,VISA 13 digit,23287230,경도화장품,126.932311485976,37.4788088132868,"37.4788, 126.9323",생오겹살(180g),14500,승인,2022-11-29 23:16:33
caeweongim,정서준,375982114184191,American Express,16483470,라스미어,126.912045905558,37.5500407049077,"37.55, 126.912",해물된장찌개,6000,승인,2022-12-04 16:08:33
minsubag,한은지,4057533718080041,VISA 13 digit,16200325,카페1온스,126.868982460104,37.541950210155,"37.542, 126.869",냉면,5000,승인,2022-12-05 11:44:31
byeongceol13,노진호,4727612023600766,VISA 16 digit,24909135,넥서스에이치어학원,127.155026380006,37.5539127745323,"37.5539, 127.155",탕수육 중,18000,승인,2022-11-30 19:17:47
seongsuha,이영일,4377087481490846280,VISA 16 digit,24969909,대영상회,127.020173860449,37.6464076141207,"37.6464, 127.0202",자장면,6000,승인,2022-12-03 05:56:36
jieuni,이보람,2284779641315603,JCB 16 digit,20006558,신성일식,126.979465617904,37.5696636900316,"37.5697, 126.9795",파마,15000,승인,2022-12-02 13:39:38
minsu46,박윤서,4329643107715366956,VISA 13 digit,11979096,GS25당산NC점,126.900974260978,37.5340978975975,"37.5341, 126.901",삼겹살,10000,승인,2022-11-28 19:06:03
lgim,김우진,5310987068781139,Diners Club / Carte Blanche,28483748,신아일식,127.094689100842,37.6064471491972,"37.6064, 127.0947",제육볶음,6000,승인,2022-12-04 23:46:43
dohyeonyun,김지혜,377182984245341,Diners Club / Carte Blanche,24493033,두레샘,127.048010923578,37.5828329538898,"37.5828, 127.048",미용료(파마),20000,승인,2022-12-01 14:24:32
jieunbaeg,주현숙,4472456120382207969,Maestro,11890296,홍제천자동차공업사,126.935889491845,37.5867410295868,"37.5867, 126.9359",갈비탕,7000,승인,2022-12-03 06:29:54
jaeho19,엄광수,4009788651906,JCB 15 digit,25845037,레인보우안경원,126.983505488355,37.5614359897958,"37.5614, 126.9835",볏짚칼삼겹(캐나다산180g),7000,승인,2022-11-29 10:13:08
myeongsugyun,이민수,36574792065007,JCB 16 digit,10430853,CU송파푸르지오2호점,127.121238155622,37.4809867596584,"37.481, 127.1212",염색,20000,승인,2022-11-30 10:12:42
seungmin31,김성현,3599408044910020,JCB 16 digit,20597702,엘노핌피자,126.936451944471,37.470664605062,"37.4707, 126.9365",짬뽕,7000,승인,2022-12-01 16:56:13
jiweonbag,송지민,3520377052062814,VISA 16 digit,22484093,성원피아노학원,126.924511840697,37.5094457946075,"37.5094, 126.9245",삼겹살(200g),10000,승인,2022-11-28 14:35:51
ryugeonu,김승현,4075140533777237,VISA 13 digit,24273507,수니텔레콤,127.036820004239,37.5893468112781,"37.5893, 127.0368",파마,25000,승인,2022-12-05 09:52:33
ominji,장영희,3564022574511990,JCB 16 digit,24899674,구립왕도어린이집,127.031105475489,37.5654764485622,"37.5655, 127.0311",산채비빔밥,6000,승인,2022-11-30 22:58:05
sunjagang,박준호,3557605301383052,VISA 13 digit,20578107,낙산이모냉면,127.007226454597,37.5881194743611,"37.5881, 127.0072",자장면,3000,승인,2022-12-05 14:46:39
coehyeonjun,최준영,30225376216484,VISA 13 digit,25087965,코리아세븐은평응암점,126.917896942722,37.5993180548013,"37.5993, 126.9179",김밥,1000,승인,2022-11-28 20:01:39
seoyeongceol,배현주,346550077650676,JCB 16 digit,3148875,위니비니영풍문고김포공항점영풍문고김포공항점,126.80076003963,37.5659562255298,"37.566, 126.8008",염색커트,17000,승인,2022-12-01 19:51:08
kgim,안유진,676285210677,Discover,28514832,CU,127.088969020253,37.6287759891336,"37.6288, 127.089",삼겹살,12000,승인,2022-12-03 14:07:22
agim,노은서,3572522446684834,JCB 16 digit,24507601,스타키보청기,126.94320379761,37.5899513585974,"37.59, 126.9432",삼겹살,13000,승인,2022-11-30 18:38:12
khwang,하지아,30335554974125,VISA 16 digit,22512929,GS25,126.927168863672,37.4842225933812,"37.4842, 126.9272",삼겹살(200g),7000,승인,2022-12-05 21:38:29
jeonghun26,이숙자,213144812250586,VISA 16 digit,12252032,영광사,127.008029385602,37.5694205982191,"37.5694, 127.008",된장찌개백반,5000,승인,2022-12-05 00:23:55
zgang,이경숙,4859828948443,JCB 16 digit,24395584,오가만물,127.012811811093,37.5715871491303,"37.5716, 127.0128",김치찌개백반,6500,승인,2022-12-05 21:42:11
jeongnamcoe,박시우,38373297396233,VISA 16 digit,14313928,화곡세탁,126.840203053806,37.54436513211,"37.5444, 126.8402",김치찌개,5000,승인,2022-11-30 05:38:31
yunseobag,이상철,2555324478215329,JCB 15 digit,12091729,더부동산,127.055075112728,37.5811056470776,"37.5811, 127.0551",이용료,7000,승인,2022-12-01 07:47:31
gyeongjai,이지훈,180088174813102,JCB 16 digit,12048611,흙표흙침대현대백화점신촌점,126.935827820491,37.556069154454,"37.5561, 126.9358",뿌리염색,25000,승인,2022-12-04 06:48:42
yunjeongsun,류미경,4420009365393193010,Diners Club / Carte Blanche,24107835,서울발레스쿨학원,126.861655133568,37.5207594747629,"37.5208, 126.8617",해물탕(대자),38000,승인,2022-12-01 14:00:41
njang,김영호,4874129181664900105,VISA 16 digit,12652144,메이크인,127.012088437062,37.5569301189397,"37.5569, 127.0121",김치찌개된장찌개백반(점심특선),5000,승인,2022-12-01 14:43:25
qi,이영환,4480273000058929670,Mastercard,25676853,위드미충무로본점,126.999041794312,37.5626139441101,"37.5626, 126.999",커트,5000,승인,2022-12-04 22:02:50
jimingim,한유진,2376755723404472,JCB 16 digit,15555949,나눔로또수입과자,127.014992467086,37.5899505785293,"37.59, 127.015",나물비빔밥,6000,승인,2022-12-04 11:37:53
